email,bed,bedClass,delta,totalCost
alice.johnson@gmail.com,bedroom1,master,247.22,727.22
alice.johnson+copy@gmail.com,bedroom1,master,247.22,727.22
bob.smith@yahoo.com,bedroom3,king-ensuite,147.22,627.22
bob.smith+copy@yahoo.com,bedroom3,king-ensuite,147.22,627.22
charlie.brown@outlook.com,bedroom2,king-ensuite,147.22,627.22
charlie.brown+copy@outlook.com,bedroom2,king-ensuite,147.22,627.22
diana.martinez@gmail.com,bedroom4,king-hall,97.22,577.22
diana.martinez+copy@gmail.com,bedroom4,king-hall,97.22,577.22
george.wilson@gmail.com,bedroom5a,full-bunk,-115.28,364.72
george.wilson+copy@gmail.com,bedroom5a,full-bunk,-115.28,364.72
ian.taylor@fastmail.com,bedroom5b,full-bunk,-115.28,364.72
ian.taylor+copy@fastmail.com,bedroom5b,full-bunk,-115.28,364.72
kevin.white@gmail.com,bedroom5c,twin-bunk,-96.53,383.47
kevin.white+copy@gmail.com,bedroom5d,twin-bunk,-96.53,383.47
ethan.lee@proton.me,bedroom5e,twin-bunk,-96.53,383.47
fiona.green@icloud.com,bedroom5f,twin-bunk,-96.53,383.47
hannah.davis@gmail.com,floor1,floor,-215.28,264.72
jluke11@gmail.com,floor2,floor,-215.28,264.72
